Country,Country Code,Year,Births (thousands)
Canada,CAN,2005,347838.0
Canada,CAN,2006,355440.0
Canada,CAN,2007,362924.00000000006
Canada,CAN,2008,369616.0
Canada,CAN,2009,375107.0
Canada,CAN,2010,379160.0
Canada,CAN,2011,381803.00000000006
Canada,CAN,2012,383469.0
Canada,CAN,2013,384555.0
Canada,CAN,2014,385216.0
Canada,CAN,2015,385607.0
Canada,CAN,2016,385857.0
Canada,CAN,2017,386036.0
Canada,CAN,2018,386213.0
Canada,CAN,2019,386464.0
Canada,CAN,2020,386828.00000000006
United States,USA,2005,4135332.000000001
United States,USA,2006,4151205.0
United States,USA,2007,4152330.0
United States,USA,2008,4138737.0
United States,USA,2009,4111596.0
United States,USA,2010,4073883.0
United States,USA,2011,4030096.0
United States,USA,2012,3986281.0
United States,USA,2013,3947817.0
United States,USA,2014,3918023.0
United States,USA,2015,3899711.0
United States,USA,2016,3894135.0
United States,USA,2017,3899175.0
United States,USA,2018,3912402.0
United States,USA,2019,3932450.0
United States,USA,2020,3957544.000000001
Mexico,MEX,2005,2309140.0
Mexico,MEX,2006,2299717.0
Mexico,MEX,2007,2292791.0
Mexico,MEX,2008,2288657.0
Mexico,MEX,2009,2287020.0
Mexico,MEX,2010,2286867.0
Mexico,MEX,2011,2286702.0
Mexico,MEX,2012,2284947.0
Mexico,MEX,2013,2280459.0
Mexico,MEX,2014,2272826.0
Mexico,MEX,2015,2262162.0000000005
Mexico,MEX,2016,2249122.0000000005
Mexico,MEX,2017,2234906.0
Mexico,MEX,2018,2220482.0
Mexico,MEX,2019,2206201.0
Mexico,MEX,2020,2192160.0
India,IND,2005,27656029.0
India,IND,2006,27466953.0
India,IND,2007,27199286.0
India,IND,2008,26857933.0
India,IND,2009,26456947.0
India,IND,2010,26023587.000000004
India,IND,2011,25592379.0
India,IND,2012,25196622.000000004
India,IND,2013,24861673.0
India,IND,2014,24599886.000000004
India,IND,2015,24414437.0
India,IND,2016,24296610.0
India,IND,2017,24220897.0
India,IND,2018,24164357.000000004
India,IND,2019,24116023.0
India,IND,2020,24067825.0
China,CHN,2005,17089922.0
China,CHN,2006,17144153.000000004
China,CHN,2007,17229510.0
China,CHN,2008,17330921.000000004
China,CHN,2009,17433109.0
China,CHN,2010,17521076.0
China,CHN,2011,17583087.0
China,CHN,2012,17613414.0
China,CHN,2013,17606393.0
China,CHN,2014,17555088.0
China,CHN,2015,17451378.0
China,CHN,2016,17290122.0
China,CHN,2017,17077816.000000004
China,CHN,2018,16824442.0
China,CHN,2019,16539228.0
China,CHN,2020,16233446.000000002
Sudan,SDN,2005,1165194.0
Sudan,SDN,2006,1178972.0
Sudan,SDN,2007,1192118.0
Sudan,SDN,2008,1204840.0
Sudan,SDN,2009,1217360.0
Sudan,SDN,2010,1229899.0
Sudan,SDN,2011,1242641.0
Sudan,SDN,2012,1255713.0
Sudan,SDN,2013,1269251.0
Sudan,SDN,2014,1283402.0
Sudan,SDN,2015,1298280.0
Sudan,SDN,2016,1313930.0
Sudan,SDN,2017,1330283.9999999998
Sudan,SDN,2018,1347276.0
Sudan,SDN,2019,1364897.0000000002
Sudan,SDN,2020,1383196.0000000002
Bangladesh,BGD,2005,3334617.0
Bangladesh,BGD,2006,3287685.0
Bangladesh,BGD,2007,3241136.0
Bangladesh,BGD,2008,3196959.0000000005
Bangladesh,BGD,2009,3156409.0
Bangladesh,BGD,2010,3120453.0
Bangladesh,BGD,2011,3089386.0
Bangladesh,BGD,2012,3062169.0000000005
Bangladesh,BGD,2013,3037699.0
Bangladesh,BGD,2014,3015382.0
Bangladesh,BGD,2015,2994594.0
Bangladesh,BGD,2016,2974725.0
Bangladesh,BGD,2017,2955075.0
Bangladesh,BGD,2018,2934882.0
Bangladesh,BGD,2019,2913430.0
Bangladesh,BGD,2020,2889959.0000000005
Brazil,BRA,2005,3206294.0000000005
Brazil,BRA,2006,3148993.0
Brazil,BRA,2007,3098977.0000000005
Brazil,BRA,2008,3057302.0
Brazil,BRA,2009,3024625.9999999995
Brazil,BRA,2010,3001192.9999999995
Brazil,BRA,2011,2986370.9999999995
Brazil,BRA,2012,2977509.0
Brazil,BRA,2013,2971718.0
Brazil,BRA,2014,2966854.0000000005
Brazil,BRA,2015,2960421.0
Brazil,BRA,2016,2950232.9999999995
Brazil,BRA,2017,2935394.0
Brazil,BRA,2018,2915409.0
Brazil,BRA,2019,2889924.0000000005
Brazil,BRA,2020,2859135.0
Niger,NER,2005,708753.9999999999
Niger,NER,2006,730366.0000000001
Niger,NER,2007,752700.0
Niger,NER,2008,775781.0000000001
Niger,NER,2009,799593.9999999999
Niger,NER,2010,824057.0
Niger,NER,2011,849043.0
Niger,NER,2012,874452.0
Niger,NER,2013,900238.9999999999
Niger,NER,2014,926427.0
Niger,NER,2015,953108.0
Niger,NER,2016,980417.0
Niger,NER,2017,1008499.0
Niger,NER,2018,1037453.0
Niger,NER,2019,1067313.9999999998
Niger,NER,2020,1098096.0
