month_key,name,year,month_number,quarter,decade
0,January,2005,0,0,200
1,February,2005,1,0,200
2,March,2005,2,0,200
3,April,2005,3,1,200
4,May,2005,4,1,200
5,June,2005,5,1,200
6,July,2005,6,2,200
7,August,2005,7,2,200
8,September,2005,8,2,200
9,October,2005,9,3,200
10,November,2005,10,3,200
11,December,2005,11,3,200
12,January,2006,0,0,200
13,February,2006,1,0,200
14,March,2006,2,0,200
15,April,2006,3,1,200
16,May,2006,4,1,200
17,June,2006,5,1,200
18,July,2006,6,2,200
19,August,2006,7,2,200
20,September,2006,8,2,200
21,October,2006,9,3,200
22,November,2006,10,3,200
23,December,2006,11,3,200
24,January,2007,0,0,200
25,February,2007,1,0,200
26,March,2007,2,0,200
27,April,2007,3,1,200
28,May,2007,4,1,200
29,June,2007,5,1,200
30,July,2007,6,2,200
31,August,2007,7,2,200
32,September,2007,8,2,200
33,October,2007,9,3,200
34,November,2007,10,3,200
35,December,2007,11,3,200
36,January,2008,0,0,200
37,February,2008,1,0,200
38,March,2008,2,0,200
39,April,2008,3,1,200
40,May,2008,4,1,200
41,June,2008,5,1,200
42,July,2008,6,2,200
43,August,2008,7,2,200
44,September,2008,8,2,200
45,October,2008,9,3,200
46,November,2008,10,3,200
47,December,2008,11,3,200
48,January,2009,0,0,200
49,February,2009,1,0,200
50,March,2009,2,0,200
51,April,2009,3,1,200
52,May,2009,4,1,200
53,June,2009,5,1,200
54,July,2009,6,2,200
55,August,2009,7,2,200
56,September,2009,8,2,200
57,October,2009,9,3,200
58,November,2009,10,3,200
59,December,2009,11,3,200
60,January,2010,0,0,201
61,February,2010,1,0,201
62,March,2010,2,0,201
63,April,2010,3,1,201
64,May,2010,4,1,201
65,June,2010,5,1,201
66,July,2010,6,2,201
67,August,2010,7,2,201
68,September,2010,8,2,201
69,October,2010,9,3,201
70,November,2010,10,3,201
71,December,2010,11,3,201
72,January,2011,0,0,201
73,February,2011,1,0,201
74,March,2011,2,0,201
75,April,2011,3,1,201
76,May,2011,4,1,201
77,June,2011,5,1,201
78,July,2011,6,2,201
79,August,2011,7,2,201
80,September,2011,8,2,201
81,October,2011,9,3,201
82,November,2011,10,3,201
83,December,2011,11,3,201
84,January,2012,0,0,201
85,February,2012,1,0,201
86,March,2012,2,0,201
87,April,2012,3,1,201
88,May,2012,4,1,201
89,June,2012,5,1,201
90,July,2012,6,2,201
91,August,2012,7,2,201
92,September,2012,8,2,201
93,October,2012,9,3,201
94,November,2012,10,3,201
95,December,2012,11,3,201
96,January,2013,0,0,201
97,February,2013,1,0,201
98,March,2013,2,0,201
99,April,2013,3,1,201
100,May,2013,4,1,201
101,June,2013,5,1,201
102,July,2013,6,2,201
103,August,2013,7,2,201
104,September,2013,8,2,201
105,October,2013,9,3,201
106,November,2013,10,3,201
107,December,2013,11,3,201
108,January,2014,0,0,201
109,February,2014,1,0,201
110,March,2014,2,0,201
111,April,2014,3,1,201
112,May,2014,4,1,201
113,June,2014,5,1,201
114,July,2014,6,2,201
115,August,2014,7,2,201
116,September,2014,8,2,201
117,October,2014,9,3,201
118,November,2014,10,3,201
119,December,2014,11,3,201
120,January,2015,0,0,201
121,February,2015,1,0,201
122,March,2015,2,0,201
123,April,2015,3,1,201
124,May,2015,4,1,201
125,June,2015,5,1,201
126,July,2015,6,2,201
127,August,2015,7,2,201
128,September,2015,8,2,201
129,October,2015,9,3,201
130,November,2015,10,3,201
131,December,2015,11,3,201
132,January,2016,0,0,201
133,February,2016,1,0,201
134,March,2016,2,0,201
135,April,2016,3,1,201
136,May,2016,4,1,201
137,June,2016,5,1,201
138,July,2016,6,2,201
139,August,2016,7,2,201
140,September,2016,8,2,201
141,October,2016,9,3,201
142,November,2016,10,3,201
143,December,2016,11,3,201
144,January,2017,0,0,201
145,February,2017,1,0,201
146,March,2017,2,0,201
147,April,2017,3,1,201
148,May,2017,4,1,201
149,June,2017,5,1,201
150,July,2017,6,2,201
151,August,2017,7,2,201
152,September,2017,8,2,201
153,October,2017,9,3,201
154,November,2017,10,3,201
155,December,2017,11,3,201
156,January,2018,0,0,201
157,February,2018,1,0,201
158,March,2018,2,0,201
159,April,2018,3,1,201
160,May,2018,4,1,201
161,June,2018,5,1,201
162,July,2018,6,2,201
163,August,2018,7,2,201
164,September,2018,8,2,201
165,October,2018,9,3,201
166,November,2018,10,3,201
167,December,2018,11,3,201
168,January,2019,0,0,201
169,February,2019,1,0,201
170,March,2019,2,0,201
171,April,2019,3,1,201
172,May,2019,4,1,201
173,June,2019,5,1,201
174,July,2019,6,2,201
175,August,2019,7,2,201
176,September,2019,8,2,201
177,October,2019,9,3,201
178,November,2019,10,3,201
179,December,2019,11,3,201
180,January,2020,0,0,202
181,February,2020,1,0,202
182,March,2020,2,0,202
183,April,2020,3,1,202
184,May,2020,4,1,202
185,June,2020,5,1,202
186,July,2020,6,2,202
187,August,2020,7,2,202
188,September,2020,8,2,202
189,October,2020,9,3,202
190,November,2020,10,3,202
191,December,2020,11,3,202
